('Sim Bhullar', '/players/b/bhullsi01.html')
('Brian Skinner', '/players/s/skinnbr01.html')
('Diamond Stone', '/players/s/stonedi01.html')
('Bruno Caboclo', '/players/c/cabocbr01.html')
('Jordan Loyd', '/players/l/loydjo01.html')
('Ryan Kelly', '/players/k/kellyry01.html')
('Nigel Hayes', '/players/h/hayesni01.html')
('PJ Dozier', '/players/d/doziepj01.html')
('Spencer Hawes', '/players/h/hawessp01.html')
('Rodney McGruder', '/players/m/mcgruro01.html')
('Sasha Vujačić', '/players/v/vujacsa01.html')
('Brian Cook', '/players/c/cookbr01.html')
('Kevin Murphy', '/players/m/murphke01.html')
('Chris Duhon', '/players/d/duhonch01.html')
('Steve Smith', '/players/s/smithst01.html')
('Devean George', '/players/g/georgde01.html')
('Quinton Ross', '/players/r/rossqu01.html')
('Rodney White', '/players/w/whitero02.html')
('Nolan Smith', '/players/s/smithno01.html')
('Scot Pollard', '/players/p/pollasc01.html')
('Harry Giles', '/players/g/gilesha01.html')
('Rod Strickland', '/players/s/stricro02.html')
('Dan Dickau', '/players/d/dickada01.html')
('Kenneth Faried', '/players/f/farieke01.html')
('Brandon Ingram', '/players/i/ingrabr01.html')
('Brandon Goodwin', '/players/g/goodwbr01.html')
('Wang Zhizhi', '/players/z/zhizhwa01.html')
('Dontell Jefferson', '/players/j/jeffedo01.html')
('Lance Stephenson', '/players/s/stephla01.html')
('Terry Mills', '/players/m/millste01.html')
('Daniel Gibson', '/players/g/gibsoda01.html')
('Kerry Kittles', '/players/k/kittlke01.html')
('Tim Young', '/players/y/youngti01.html')
('Robin Lopez', '/players/l/lopezro01.html')
('Kyrie Irving', '/players/i/irvinky01.html')
('Stephen Jackson', '/players/j/jacksst02.html')
('Diante Garrett', '/players/g/garredi02.html')
('Spencer Dinwiddie', '/players/d/dinwisp01.html')
('Lonnie Walker', '/players/w/walkelo01.html')
('Andrés Nocioni', '/players/n/nocioan01.html')
('Anderson Varejão', '/players/v/varejan01.html')
('James Ennis', '/players/e/ennisja01.html')
('Avery Bradley', '/players/b/bradlav01.html')
('Thomas Bryant', '/players/b/bryanth01.html')
('Wayne Ellington', '/players/e/ellinwa01.html')
('Rudy Gobert', '/players/g/goberru01.html')
('Zhou Qi', '/players/q/qizh01.html')
('Darrell Armstrong', '/players/a/armstda01.html')
('Allen Iverson', '/players/i/iversal01.html')
("De'Anthony Melton", '/players/m/meltode01.html')
('Anthony Tolliver', '/players/t/tollian01.html')
('Geno Carlisle', '/players/c/carlige01.html')
('Steve Blake', '/players/b/blakest01.html')
('Keith Bogans', '/players/b/boganke01.html')
('Carlos Delfino', '/players/d/delfica01.html')
('Melvin Sanders', '/players/s/sandeme01.html')
('John Lucas III', '/players/l/lucasjo02.html')
('Trajan Langdon', '/players/l/langdtr01.html')
('Demetris Nichols', '/players/n/nichode01.html')
('Danilo Gallinari', '/players/g/gallida01.html')
('Frank Williams', '/players/w/willifr02.html')
('Robert Williams', '/players/w/williro04.html')
('Chris Wilcox', '/players/w/wilcoch01.html')
('Cheick Diallo', '/players/d/diallch01.html')
('Omari Johnson', '/players/j/johnsom01.html')
('Chris Boucher', '/players/b/bouchch01.html')
('Nikola Mirotić', '/players/m/mirotni01.html')
('Hiram Fuller', '/players/f/fullehi01.html')
('Anthony Brown', '/players/b/brownan02.html')
('Alex Scales', '/players/s/scaleal01.html')
('Shawn Marion', '/players/m/mariosh01.html')
('Mo Williams', '/players/w/willima01.html')
('Chucky Atkins', '/players/a/atkinch01.html')
('Jameer Nelson', '/players/n/nelsoja01.html')
('Deng Gai', '/players/g/gaide01.html')
('James Augustine', '/players/a/augusja01.html')
('Kenrich Williams', '/players/w/willike04.html')
('Gary Neal', '/players/n/nealga01.html')
('Dee Brown', '/players/b/brownde01.html')
('Marcus Georges-Hunt', '/players/g/georgma01.html')
('Maurice Ager', '/players/a/agerma01.html')
('Ricky Davis', '/players/d/davisri01.html')
('Dwight Howard', '/players/h/howardw01.html')
('Ha Seung-Jin', '/players/s/seungha01.html')
('Jamal Crawford', '/players/c/crawfja01.html')
('Robert Sacre', '/players/s/sacrero01.html')
('David Wesley', '/players/w/wesleda01.html')
('Mile Ilić', '/players/i/ilicmi01.html')
('Ryan Robertson', '/players/r/roberry01.html')
('D.J. Augustin', '/players/a/augusdj01.html')
('Mario Bennett', '/players/b/bennema01.html')
('Scott Padgett', '/players/p/padgesc01.html')
('Jamal Sampson', '/players/s/sampsja01.html')
('Vítor Faverani', '/players/f/favervi01.html')
('Christian Laettner', '/players/l/laettch01.html')
('Steven Hunter', '/players/h/huntest01.html')
('Kyle Lowry', '/players/l/lowryky01.html')
('Darren Collison', '/players/c/collida01.html')
('Tony Battie', '/players/b/battito01.html')
('Jamal Mashburn', '/players/m/mashbja01.html')
('David Nwaba', '/players/n/nwabada01.html')
('Chris Dudley', '/players/d/dudlech02.html')
('Jimmy Butler', '/players/b/butleji01.html')
('Tyler Ennis', '/players/e/ennisty01.html')
('Joe Chealey', '/players/c/chealjo01.html')
('DeMarcus Cousins', '/players/c/couside01.html')
('Marcus Cousin', '/players/c/cousima01.html')
('Trevor Booker', '/players/b/booketr01.html')
('Aaron Miles', '/players/m/milesaa01.html')
('Derrick McKey', '/players/m/mckeyde01.html')
('Harrison Barnes', '/players/b/barneha02.html')
('Luke Jackson', '/players/j/jackslu02.html')
('Festus Ezeli', '/players/e/ezelife01.html')
('Chris Jefferies', '/players/j/jeffech01.html')
('Jacob Evans', '/players/e/evansja02.html')
('Emanual Davis', '/players/d/davisem01.html')
('Tyrone Nesby', '/players/n/nesbyty01.html')
('Monte Morris', '/players/m/morrimo01.html')
('Dikembe Mutombo', '/players/m/mutomdi01.html')
('Eric Murdock', '/players/m/murdoer01.html')
('Shareef Abdur-Rahim', '/players/a/abdursh01.html')
('Larry Drew', '/players/d/drewla02.html')
('Delonte West', '/players/w/westde01.html')
('Jason Caffey', '/players/c/caffeja01.html')
('Kyle Weaver', '/players/w/weaveky01.html')
('Marcin Gortat', '/players/g/gortama01.html')
